,title,lyrics,album
0,2014 Untitled (Snippet),"[Lyrics from Snippet]

The reasons why I can't have you are easy to fix

... Around
Or whatever makes you feel like you the baddest bitch around

I know that your other man, I know that your other man
Got feelings for you,  got feelings for you...",
0,6 Inch Heel,"[Instrumental Intro]

[Chorus: Belly]
Six inch heel, she walked in the club like nobody's business
Goddamn, she murdered everybody and I was her witness
She worked for the money, she worked for the money
From the start to the finish
And she's worth every dollar, worth every dollar
But she's worth every minute
She work for the money
She work for the money
She work for the money
She work for the money

[Verse 1: The Weeknd]
She's stacking money, money everywhere she goes
You know, pesos out of Mexico
De uno, commas and them decimals
She don't gotta give it up, she professional
She mixing up that Ace with that Hennessy
She love the way it tastes, that's her recipe
Rushing through her veins like it's ecstasy, oh no
Then she killed the fucking stage like an enemy

[Chorus: Belly]
Six inch heel, she walked in the club like nobody's business
Goddamn, she murdered everybody and I was her witness
She worked for the money, she worked for the money
From the start to the finish
And she's worth every dollar
Work for the money
She work for the money
She work for the money
She work for the money

[Verse 2: The Weeknd]
She tricking on herself she don't need a boss
(Don't you know) really ain't a thing to flaunt
(That two door) stunting with the ceilings on
Got these bitches in they feelings cause she paid it all
Used to have a man, wasn't meant to be
Made 100 bands, that's a century
Saving up for plans that would never be
She already made enough but she'll never leave

[Bridge: The Weeknd]
All this money, money, falling from the sky
All this money, money, falling from the sky
All this money, money, falling from the sky
Falling from the sky, f-f-falling from the sky
All this money, money, falling from the sky
All this money, money, falling from the sky
F-f-falling from the sky, falling from the sky

[Verse 3: Belly]
Got a 100 bands I don't need a reason
Tell these bitches it's killing season
200 cash, she don't need a visa
Money, money all she believin'
300 flat, bitch left me freezin'
Balling, balling you play the bleachers
400 down, primp on the beach
Comin' round and everything on fleek

[Chorus: Belly]
Six inch heel, she walked in the club like nobody's business
Goddamn, she murdered everybody and I was her witness
She worked for the money, she worked for the money
From the start to the finish
And she's worth every dollar, worth every dollar
But she's worth every minute

[Outro]
She work for the money
She work for the money
She work for the money
She work for the money
But she's worth every minute
She work for the money
She work for the money
She work for the money
She work for the money
But she's worth every minute",
0,Acquainted,"[Verse 1]
Baby you're no good
Cause they warned me 'bout your type girl, I've been ducking left and right
Baby you're no good
Think I fell for you, I fell for you, I fell for you

[Pre-Chorus]
You got me puttin' time in, time in
Nobody got me feeling this way
You probably think I'm lying, lying
I'm used to bitches comin' right 'way

[Chorus]
You got me touchin' on your body
You got me touchin' on your body
To say that we're in love is dangerous
But girl I'm so glad we're acquainted, oh
I get you touchin' on your body
I get you touchin' on your body
I know I'd rather be complacent
But girl I'm so glad we're acquainted
We're acquainted

[Verse 2]
Baby you're no good
All my niggas think I'm crazy' cause I'm thinkin' 'bout us lately
But really if I could
I'd forget about you, 'get about you, 'get about you

[Pre-Chorus]
You got me puttin' time in, time in
Nobody got me feeling this way
You probably think I'm lying, lying
I'm used to bitches comin' right 'way

[Chorus]
You got me touchin' on your body
You got me touchin' on your body
To say that we're in love is dangerous
But girl I'm so glad we're acquainted, oh
I got you touchin' on your body
I got you touchin' on your body
I know I'd rather be complacent
But girl I'm so glad we're acquainted
We're acquainted

[Verse 3]
Momma called me cryin', cryin', cryin', cryin'
'Cause I won't find somebody that's real (she wants somebody that's real,) yeah
'Cause every time I try to, try to, try to run
The fast life keeps gaining on me (the fast life keeps gaining on me,) shit
But ever since I met you (ever since I met you)
I couldn't believe what you did
So comfort me babe, ain't no rush from me babe
(Woooooh)

[Chorus]
I'll keep on touchin' on your body
I'll keep on touchin' on your body
To say that we're in love is dangerous
But girl I'm so glad we're acquainted, oh
I got you touchin' on your body (touchin' on your body)
I got you touchin' on your body (touchin' on your body)
I know I'd rather be complacent
But girl I'm so glad we're acquainted
We're acquainted

[Outro]
I'm not tryna talk at all
Tryna love you crazy
Put some more inside your cup
And drink till you numb the pain
I got you touchin' on your body
These girls keep touchin' on their body
They got accustomed to the life we live
These girls born in the '90s are dangerous
I got 'em thinkin' that they want me
Although they know they not the only
I got 'em wanting to embrace their sins
These girls born in the '90s are dangerous",Beauty Behind the Madness
0,Adaptation,"[Intro]
When the sun comes up, you're searching for a love
So your heart won't lead you to anyone
When the sun goes down, I know what you become
You become awake, unlike the rest of us

[Sample]
The afternoon has gently passed me by
The evening spreads its sail against the sky
Waiting for tomorrow
Just another day
God bid yesterday goodbye

[Verse 1]
I lay my head on a thousand beds
It's been a test to see how far a man
Can go without himself
I think I lost the only piece that held it all in place
Now my madness is the only love I let myself embrace
I could've stayed

[Chorus]
But I chose the life
I chose the life
Then I realized
She might have been the one
I let it go
For a little fun
I made a trade
Gave away our days
For a little fame
Now I'll never see your face
But it's okay I adapted anyway

[Verse 2]
Adapted to these models
Who's adapted to the bottle
They take it down like water
Just to burn away their sorrows
I'll stay up till tomorrow
Just to tear down all their morals
And all is fair in Love and War
She's pure

[Bridge]
So pure, like the love that's so uncut and raw
And clean, so clean, as opposed to what I offered

[Chorus 2]
Because I chose the life
I chose the life
Then I realized
She might have been the one
I let it go
For a little fun
I made a trade
Gave away our days
For a little fame
Now I'll never see your face
But it's okay I adapted anyway
She might just be the one
She might just be the one
She might just be the one
She might just be the one

[Sample]
The afternoon has gently passed me by
The evening spreads its sail against the sky
Waiting for tomorrow
Just another day
God bid yesterday goodbye

[Outro]",Kiss Land (Deluxe)
0,Airports,"I think I'm fuckin' gone, rollin' on this floor
Messin' up your carpet, I'll get on it after former
More sections of this yak on your floor
Shouldn't fuckin' roll, but I fuckin' roll
Feelin' like a million bucks before
I walk through this door, when I walk through your door
Can't believe I made it, but I made it, that's for sure
For sure, your lovin', I need more, I need yours

She ain't lookin' for that unconditional
What the fuck these bitches on? They want what I'm sippin' on
They don't want my love, they just want my potential
Fuck it, I'll keep sippin' on this, baby livin' off of this
Got me drownin' in your love, you got me drownin' in abyss
Give me wet attention, I'll start drowning from my wrists, wrist

And baby if you need a little more
The feelings I would give to you
You, you, you, you
The feelings I would give to you
You, you, you, you, you, you, you",
0,Allan Slaight Award Thank You Speech,"Thank you

It's a little overwhelming right now
I'd like to thank the Allan Slaight family of course, for the recognition

La Mar Taylor my best friend, I convinced him to drop out of High School with me
Now he's my creative director and I hope there's no regrets at this point

Cash and Sal my managers, who have been with me at my darkest times
And hopefully at my brightest, so thank you guys, I really appreciate it

Drop Life, hardest working man I know, thank you
He does all my branding, so make som noise for Drop Life
Thank you appreciate it

I'd like to thank Hyghly Alleyne, he's not here right now
But he inspired me and opened my eyes to the downtown life
Growing up in Scarborough with my mom
Who I put through hell, but she's my biggest inspiration
Thank you mom, appreciate it

Of course I'd like to think Doc McKinney and Illangelo
who helped bring my vision to life musically
Trilogy, such an important album to me
and I feel like I would not be here without them
I wouldn't be holding this without them,
So thank you very much, appreciate that

Of course, uhm..
DaHeala, Danny Boy, Belly
For bringing Kiss Land to life
so thank you guys
Appreciate that

I wanna thank, of course
Randy Lennox, who has supported me from day one
I remember walking into his office
And he just believed in me right away
So thank you Randy Lennox, of course

And I wanna thank Avery, [?], Charlie Walk, Puff, Rick Rubin for
... That was amazing, I don't what to say to that
Thank you Rick Rubin, appreciate it
Florence, Wiz, everybody who was apart of that video

And I wanna thank for my fans who been with me from day one..
XO 'Till We OD, so I love you guys very much
I wouldn't be here without you
and I think it's gonna be a long term relationship between me and you

And of course, I wanna thank the city of Toronto
For the endless inspiration
I'm gonna make you proud, hopefully, thank you",
0,All I Know,"[Verse 1: The Weeknd]
The reasons I can't have you, are so easy to fix
I didn't really plan to, but I'ma do it for this
The reasons I can't have you, isn't so complicated
Baby if you let me I won't hesitate

[Chorus: The Weeknd]
All I know, all I know is this
All I know, all I know is this
All I know, all I know, all I know, all I know is this
All I know, all I know, all I know, all I know is this
(Yeah, yeah, yeah, yeah)

[Verse 2: The Weeknd]
I know there's been stigma 'round me
I know you heard things about me
You sleep one eye closed
Too scared to get heartbroke
Heard too many lies told
Don't make this shit my fault
I could tell why you would doubt me
I hit one time, you can't live without me
Girl I'm just peakin', I'm just tryna be on top of you
On top of you

[Chorus: The Weeknd & Future]
All I know
All I know, all I know, all I
All I know is this
All I know, all I know, all I
All I know
All I know, all I know, all I know
All I know is this
All I know, all I know, all I know, all I know
All I know, all I know, all I know, all I know is this
All I know, all I know, all I know, all I know is this
Is this, is this

[Verse 3: Future]
Sleep with one eye open
I'm terrified to get my heart broke
Blood talkin' like a Piru
Fuck with me, nigga, you gon' die slow (gang)
Lamborghini make you Crip walk
I'm smashin' off with my side ho
Full of these medicals, bitches, got several
She eat the dick up like it's an edible
Then I get back to my capital
I got the Glock on the passenger
I got these tropical fantasies
They gon' remember my legacy
Hang out the roof of the Ghost
The cash in my pocket spill right on the floor
The cash in my pocket spill out in the floor
When the cash overflow, let the cash overflow
I done fucked a bitch that bougie (yeah)
Have you ever, ever fucked a bitch that bougie?
I done fucked a bitch that bougie
I done, I done, I done fucked a bitch that bougie
I done fucked a bitch conceited
I done fucked a few, few bitches conceited
We just wanna say we did it
We just wanna say we did it
I know like you know
I keep that trigger beside me
I know like you know
You just another body
I know like you know
I keep that trigger beside me
I know like you know
You just another body
Have you fucked a bitch this pretty?
Hit her on the first night and went and bought titties
Have you fucked a bitch this pretty?
Hit her on the first night and went and bought titties
Niggas always sneak dissin'
We gon' continue fuckin' they bitches
I ain't just fucking that bitch
I been the one makin' love to that bitch

[Chorus: Future]
All I know
All I know, all I know, all I
All I know is this
All I know, all I know, all I
All I know
All I know, all I know, all I know
All I know is this
All I know, all I know, all I know, all I know...
All I know, all I know, all I know, all I know is this
All I know, all I know, all I know, all I know is this
All I know, all I know, all I know, all I know is this
Is this, is this",Starboy
0,All I Know (Remix),"[Intro: The Weeknd]
Woo, ooh, ah
Woo, ooh, ah
Woo, ooh, ah
Woo, ooh, ah

[Verse 1: The Weeknd & The-Dream]
The reasons I can't have you, are so easy to fix
I didn't really plan to, but I'ma do it for this, yes (Ooh)
The reasons I can't have you (Ooh), isn't so complicated (Ooh)
Baby if you let me (Ooh) I won't hesitate (Ooh)

[Chorus: The Weeknd & The-Dream]
All I know (Ooh), all I know is this (Ooh)
All I know (Ooh), all I know is this (Ooh)

[Refrain: The-Dream & The Weeknd]
(All I know, all I know, all I know is this)
Just do your head for a bag
Niggas fuck your bitch for a bag
(All I know, all I know, all I know is this)
Niggas'll do you in for a bag
[?] in your ass for a bag
I'ma hit your front door for a bag
Niggas gon' hit your back door for a bag
Niggas out here do it for a bag
They'll do the whole thing for a bag

[Verse 2: Kanye West]
Please don't come to my house
Don't think about coming to my house
It's legal to kill a nigga
Gun all in your mouth
I bet them pistols come out
Please don't come to my house
Please don't come to my house
Please don't run into my house
Nigga I ain't no gangsta
Pac said don't push me
You call me faggot, you can call me a bitch, you can call me a pussy
You can call me a pussy
But please don't come to my house
Them guns all in your mouth
You can call me faggot, you can call me a bitch, you can call me a pussy
But I bet them guns all in your mouth
Now what the fuck they talkin' 'bout?
And what the fuck they talkin' 'bout?
What the fuck you talkin' 'bout?
What the fuck you talkin' 'bout?
Talkin' 'bout?
I don't give a fuck about a nigga talkin' 'bout my bag
Nigga that's entertainment, haha, I laugh
Mothafucker come in my house
Well how high? that's, nigga, your ass
Mothafuckers outside on something, I don't pay no staff
Nigga, I do the time all on my own, nigga, that's your ass
Mothafuckers I ain't sign, out here all know I spaz
I'm on something outside, I'll be at your ass
Nigga I want something like one life, one love, one shot, one kill
Nigga I'm outside on something, that's how the fuck I feel
Niggas know I'm bossed up on some stuff, that's the deal
I don't know what the nine I want, know that's real
And I do this shit for y'all niggas
And I do this shit for all niggas
And I do this shit for all bitches
And white niggas
Off in the night niggas
Off-white, light niggas
I don't even like niggas
I don't want nobody, as long as I'm alive, I don't even like niggas
All white feelin' like the KKK sometimes 'cause I don't even like niggas
Oh woah
Nigga, Ye keep it too real
Nigga, tell me how you feel
Have a little something, yeah you will
Respect my thought, bet you will
And you gon' get them phone calls
Bitches on something, when you on, woah
Going to the park, when you're on, woah
Ooee, goddamnit, God bless it
Don't test it, no questions
Don't question me
Ain't nothin' I hate more than questions
I got that bum bum intestine
I won't even try stressin', I got somethin' for the pressure
This is the great depression
I put something in the stressor
Yeah you know, yeah you know
Aaah, a-a-ah, Oooh

[Refrain: The-Dream]
They gon' do your head for a bag
Niggas'll do your bitch for a bag
[?] for a bag
This could be the end for a bag
Niggas gon' hit that front door for a bag
Niggas'll hit that back for a bag
Niggas'll do you in for a bag
I'll do the whole thing for a bag
It's bad out here
It's bad out here

[Verse 3: The-Dream]
And these niggas'll do anything
For that money
It's guerillas out here
It's fuck your feelings out here
These niggas killin' out here
Ain't no chillin' out here
Walk around with the realest out here
Don't want no ceilings out here
Nigga worth billions out here
They killin' out here
I hope you don't really think that you want it
They'll come, they'll come
I can see the fire when you're runnin'
Run, run
Now everything you have's on the rocks
Your niggas built you up, I'm gon' tear you down

[Refrain: The-Dream & Quavo]
Niggas do your head for a bag
Niggas will fuck your bitch for a bag
They'll do you in for a bag
This could be the end for a bag
And niggas'll hit that front door for a bag
Niggas'll hit that back door for a bag
Niggas going in through the backdoor
They'll do anything for a bag (they'll do anything)
Do the whole thing for a bag (Ra ra ra)
It's bad out here

[Verse 4: Quavo & Big Sean]
Niggas get you for a bag (bag)
Niggas get you for a price tag (price tag)
Diamonds on my neck like bird baths (shine)
Diamonds on my neck like Birdman (brr)
You gon' have me on the curb man (curb, man)
See through frames yeah I bought 'em from Erkel (ayy)
Cookie bud, yeah, it got a lil' purple (cookie)
Can't be a worker, never been a server (no)
Fuck with my circle you gonna need a surgeon
Shit is deadly out here, it's trecherous (yeah)
Prayin' to God that we hella rich (God)
They try to tell me I need medicine
In the lab, makin' Frankenstein (Frankenstein)
Thirty thousand in some Balmains (Balmains)
Tell the police bring the caution tape
Hit the jewelry store for gold and diamonds (twelve)
You ain't gotta ask who the don is (no)
Gorillas with me like the zoo behind us (grr)
You gonna need Elijah Muhammad
If you play me for what mine is
The world is mine, yeah it's Nostradamus (mine)
I'ma take it, hand it to my mama (ayy)
Metal to your mouth, orthodontist (yeah)
For the comma, comma, comma, commas
Colder streets, hot like the summer (hah)
In the middle of the winter yeah (brr)
Remember the time I was kicking doors (ayy)
But I tell my mama is was working, yeah (momma)
Now I got niggas that do it for nothin', yeah they do it for nothin'
When I see the bag, yeah, you know that I'm runnin'
Monopoly money, you know that I'm comin'
Bags, cash, bags, cash

[Verse 5: Quavo]
Yeah, came from the bottom with it
Yeah, I came from the bottom with it, so you know I gotta get all of it
Yeah, you know I get all of it
Yeah, you know I wanna ball for it
Yeah, you know I'm goin' hard for it
Yeah, you know I want all of it
I want the bag today, I want the cash today
I want a mask today, I want a mask today
Yeah, put the new mask on my face
I put this mask on my face
Ayy, gun on my waist, put it to your face
I put it to your mouth, ayy, I need it
You can't come in my house
You can't come in my house 'cause I need it
Put a gun in your mouth if you come in my house
And you know the word 'round town
And you know this how it goes down
And you know this my town
And you know this my town
'Cause I put in work, yeah, I put in work
My bitch wanna surf
Hit the top I work
Yeah, this my life, came in with the ice
Came in for the, ayy
Know a nigga do it for the price
Know a nigga do it for the price
They'll do it for a bag
Don't make a nigga mad, don't make me mad
You might think I'm crazy, but nah
No, no, no I'm not crazy
Nah, no, spent down two million on my house
It's 2.3 million on my house
Yeah, that's a mansion, you can't try me
I put all these damn diamonds, lookin' at it
Always, push-scale, always, oh, yeah
Always hit a bitch on X
Told a bitch in the hallway
Put this gun in your fuckin' face
Y'all niggas wanna play with me?
No, nigga, don't play with me
Two bitches wanna lay with me
Yeah, yeah, yeah, I slayed 'em
Yeah, yeah, yeah, I made 'em
Yeah, yeah, yeah, I ate 'em
Yeah, yeah, yeah, yeah I'm a player
Real-real, true player
Quavo from the Himalayas
Top floor with the condo
Used to trap out the bando
Passed the rock like I'm Rondo
Yeah, yeah, they kick doors
Yeah, yeah, with the lick-four
Thirty thousand in them Balmains
Yeah, yeah, it's the same thing
Twenty thousand on a damn chain
Twenty K yeah, don't play
Put twenty K on a nigga face, yesterday
Yeah, yeah, yeah, now that nigga had a funeral, oh man
Oh man, oh man, I put in them bands
You don't understand
You don't wanna play with me
Don't tarnish my name
'Cause I did this not for the fame, I did this for the ice
And I did this for the price
If a nigga right price, I'll take your life
Yeah, for the right price, I'll take your life, yeah
For the right price, hey, yeah, for the right price
(Get it, keep it)",
0,All That Money (demo of 6 INCH),"[Hook: Belly]
Six inch heels, she walked in the club like nobody's business (nobody's business)
Goddamn, she murdered everybody and I was her witness
She works for the money, she work for the money
From the start to the finish
And she's worth every dollar, she worth every dollar
But she worth every minute
She work for the money
She work for the money
She work for the money
She work for the money

[Verse 1: The Weeknd]
She's stacking money, money everywhere she goes
(Juno!)
You know, pesos out of Mexico (De uno)
Commas and them decimals (You know!)
She don't gotta give it up, she professional
She mixing up that Ace with that Hennessy
She love the way it tastes, that's her recipe
Rushing through her veins like it's ecstasy
Then she kill the fucking stage like an enemy

[Hook: Belly & The Weeknd]
Six inch heels, She walked in the club like nobody's business (nobody's business)
Goddamn, (Goddamn!)
She murdered everybody and I was her witness
She work for the money, she work for the money
From the start to the finish
And she's worth every dollar, she work for the money
She work for the money
She work for the money
She work for the money
She work for the money

[Verse 2: The Weeknd]
She trickin' on herself, she don't need a boss
(That Juno!)
It really ain't a thing to flaunt (That Two Door!)
Stuntin' with the ceilings off
Got these bitches in their feelings
Cause she played it off
Used to have a man, Wasn't meant to be (meant to be)
Made 100 bands that's a Century (century)
Saving up for plans that would never be
She already made enough but she'll never leave

[Bridge: The Weeknd]
All this money, money
Fallin' from the sky (ouh yeah)
All this money, money
Fallin' from the sky (ouh yeah)
All this money, money
Fallin' from the sky (oh yeah)
F-fallin' from the sky
F-f-Fallin' from the sky
All this money, money
Fallin' from the sky (from the sky)
All that money, money
Fallin' from the sky (sky-y-y)
All this money, money
Fallin' from the sky (sky)
F-Fallin' from the sky (sky)
Fallin' from the sky

[Verse 3: Belly]
Got 100 bands I don't need a reason (I don't need a reason)
Tell these bitches it's killer season (It's killer season)
200 cash she don't need a Visa (She don't need a Visa)
Money money ah she ain't believe it
300 flat bitch act a freezer
Ballin' ballin' you played the bleachers
400 down, Crib on the beach
Comin' round and they gang gone flee

[Hook: Belly]
Six inch heels, she walked in the club like nobody's business
Goddamn, she murdered everybody and I was her witness
She work for the money, she work for the money
From the start to the finish
And she's worth every dollar, worth every dollar
But she worth every minute
She work for the money
She work for the money
She work for the money
She work for the money
But she worth every minute, She work for the money
She work for the money
She work for the money
But she worth every minute",
0,Angel,"[Intro: The Weeknd and Children's Choir]
Ooohh

[Verse 1: The Weeknd]
Angel, oh oh oh oh
Knew you were special from the moment I saw you
I saw you, yeah
I said angel, oh oh oh oh
I feel you're closer every time I call you
I call you

[Pre-Chorus: The Weeknd]
Cause all I see are wings, I can see your wings
But I know what I am and the life I live, yeah, the life I live
And even though I sin, maybe we are born to live
But I know time will tell if we're meant for this
Yeah, if we're meant for this

[Chorus: The Weeknd]
And if we're not
I hope you find somebody
I hope you find somebody
I hope you find somebody
I hope you find somebody to love
Somebody to love
Somebody to love
Yeah, yeah, yeah

[Verse 2: The Weeknd]
Said angel, woah oh oh oh
You'll probably never take me back and I know this
Yeah I know this, aw man
I said angel, woah oh oh oh
I'm so desensitized to feeling these emotions
Yeah, no emotions baby

[Pre-Chorus: The Weeknd]
Cause all I see are wings, I can see your wings
But I know what I am and the life I live, yeah, the life I live
And even though I sin, we all want to live
But I know time will tell if we're meant for this
Yeah if we're meant for this

[Chorus: The Weeknd]
And if we're not
I hope you find somebody
I hope you find somebody
I hope you find somebody
I hope you find somebody to love
Somebody to love
Somebody to love
Yeah, yeah, yeah

[Bridge: The Weeknd]
And even though we live inside
A dangerously empty life
You always seem to bring the light
You always seem to bring the light
And even though we live inside
A dangerously empty life
You always seem to bring me light
You always seem to bring me light

[Chorus: The Weeknd and Maty Noyes]
I hope you find somebody
I hope you find somebody
I hope you find somebody
I hope you find somebody to love
Somebody to love
Somebody to love
Yeah, yeah, yeah, oh
I hope you find somebody
I hope you find somebody
I hope you find somebody
I hope you find somebody to love
Somebody to love
Somebody to love
Yeah, yeah, yeah, oh
I hope you find somebody
I hope you find somebody
I hope you find somebody
I hope you find somebody to love
Somebody to love
Somebody to love
Yeah, yeah, yeah, oh

[Outro: The Weeknd and Maty Noyes]
Ooh somebody baby
I hope you find somebody
I hope you find somebody
I hope you find somebody baby
Somebody to love
Somebody to love
Yeah, yeah, yeah",Beauty Behind the Madness
